month,year,N,unemp,trust_1,trust_2,trust_3,trust_4,trust_5,legis_1,legis_2,legis_3,legis_4
April,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2012,439,NA,34.9,25.5,2.5,3.2,29.8,39.4,24.1,NA,23
June,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2012,450,NA,38,22.7,3.1,NA,29.1,40,22.4,NA,22.9
December,2012,450,NA,39.3,33.1,2.4,NA,21.7,42.4,34.2,NA,11.3
January,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2013,430,NA,42.1,24.9,2.3,NA,20,44.2,26.7,NA,16.3
April,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2013,450,NA,31.6,23.6,NA,NA,34.2,38.7,25.3,NA,NA
December,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2014,450,NA,41.6,25.1,NA,NA,24,NA,NA,NA,NA
May,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2014,450,NA,39.8,27.8,4,1.6,22.4,41.6,29.1,NA,15.3
November,2014,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2014,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2015,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2015,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2015,450,NA,39.3,26.2,4,NA,22.4,41.8,24.4,NA,18.4
April,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2015,450,NA,36.2,22.4,3.3,NA,26,40.7,21.3,NA,19.1
September,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2016,450,NA,33.1,18.9,3.3,NA,35.3,NA,NA,NA,NA
April,2016,365,8.2,31.8,23.3,3.6,NA,32.1,NA,NA,NA,NA
May,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2016,450,NA,34.2,20.7,3.3,NA,33.6,NA,NA,NA,NA
August,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2016,375,NA,37.3,20.3,5.1,NA,28,NA,NA,NA,NA
October,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2017,449,NA,35,19.6,4.5,NA,30.7,40.1,19.6,NA,20.5
March,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2017,450,NA,34.7,22.9,NA,3.1,30.9,NA,NA,NA,NA
September,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
