month,year,N,unemp,trust_1,trust_2,trust_3,trust_4,trust_5,legis_1,legis_2,legis_3,legis_4
April,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2012,749,NA,41.3,14.3,2.5,0.5,29.4,43.5,16.8,NA,26.4
June,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2012,750,NA,36,13.2,3.9,NA,33.3,38.8,13.1,NA,24.7
December,2012,749,NA,32.2,21.8,3.2,NA,26.3,36.2,24.6,NA,20.6
January,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2013,749,NA,37.5,15.8,3.5,NA,29.1,41.7,17.1,NA,26.3
April,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2013,750,NA,32.3,11.5,NA,NA,42,36.1,14.9,NA,NA
December,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2014,750,NA,41.7,11.7,NA,NA,31.2,NA,NA,NA,NA
May,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2014,750,0,32.3,24.4,0.7,2.5,26.1,34.8,28.9,NA,21.3
November,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2015,750,NA,30.8,19.5,3.9,NA,33.3,35.2,20.5,NA,28.3
April,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2015,749,NA,34.8,18.6,3.1,NA,31.1,41.4,19.5,NA,24.8
September,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
