"states","Hattacks","Fattacks","lag.states","states.discrete"
-3.6776081334346,1,0,-4.2931393520096,-3.66647634086991
-4.06277353979073,0,0,-3.6776081334346,-4.06647634086991
-4.16186101235812,1,0,-4.06277353979073,-4.16647634086991
-4.64477374694061,1,0,-4.16186101235812,-4.66647634086991
-5.00746142840809,1,0,-4.64477374694061,-5.01647634086991
-5.36770566216861,1,0,-5.00746142840809,-5.36647634086991
-5.68620130470078,1,0,-5.36770566216861,-5.66647634086991
-5.99331775874589,0,0,-5.68620130470078,-6.01647634086991
-6.01454014265365,1,0,-5.99331775874589,-6.01647634086991
-6.36919243751078,0,0,-6.01454014265365,-6.36647634086991
-6.39007467971587,1,0,-6.36919243751078,-6.36647634086991
-6.69497033163707,1,0,-6.39007467971587,-6.71647634086991
-6.99758325299297,1,0,-6.69497033163707,-7.01647634086991
